doc,sentence,token,pos,prev,next,tag
doc:1,1,“pencurian,NOUN,.,dengan,B_CRIA
doc:1,2,dengan,ADP,“pencurian,pemberatan”,I_CRIA
doc:1,3,pemberatan”,PUNCT,dengan,6,E_CRIA
doc:1,4,6,NUM,pemberatan”,(enam),B_PENA
doc:1,5,(enam),PUNCT,6,bulan,I_PENA
doc:1,6,bulan,NOUN,(enam),berdy,E_PENA
doc:1,7,berdy,PUNCT,bulan,despar,B_PROS
doc:1,8,despar,PUNCT,berdy,magrhobi,I_PROS
doc:1,9,magrhobi,PUNCT,despar,s.h,I_PROS
doc:1,10,s.h,PUNCT,magrhobi,joni,E_REGI
doc:1,11,joni,PROPN,s.h,setiawan,B_DEFN
doc:1,12,setiawan,PROPN,joni,bin,I_DEFN
doc:1,13,bin,PROPN,setiawan,sugianto,I_DEFN
doc:1,14,sugianto,PROPN,bin,aldi,E_DEFN
doc:1,15,aldi,PROPN,sugianto,jailani,B_DEFN
doc:1,16,jailani,PROPN,aldi,bin,I_DEFN
doc:1,17,bin,PROPN,jailani,mohammad,I_DEFN
doc:1,18,mohammad,PROPN,bin,ibrahim,I_DEFN
doc:1,19,ibrahim,PROPN,mohammad,“pencurian,E_DEFN
doc:2,20,“pencurian,NOUN,ibrahim,yang,B_CRIA
doc:2,21,yang,PRON,“pencurian,dilakukan,I_CRIA
doc:2,22,dilakukan,VERB,yang,secara,I_CRIA
doc:2,23,secara,ADP,dilakukan,berlanjut”,I_CRIA
doc:2,24,berlanjut”,PUNCT,secara,melanggar,I_CRIA
doc:2,25,melanggar,VERB,berlanjut”,pasal,I_CRIA
doc:2,26,pasal,NOUN,melanggar,362,I_ARTV
doc:2,27,362,NUM,pasal,kuhp,I_ARTV
doc:2,28,kuhp,NOUN,362,jo,E_ARTV
doc:2,29,jo,PROPN,kuhp,pasal,I_ARTV
doc:2,30,pasal,NOUN,jo,64,I_ARTV
doc:2,31,64,NUM,pasal,ayat,I_ARTV
doc:2,32,ayat,NOUN,64,(1),I_ARTV
doc:2,33,(1),PUNCT,ayat,kuhp,I_ARTV
doc:2,34,kuhp,NOUN,(1),2,E_ARTV
doc:2,35,2,NUM,kuhp,(dua),B_PENA
doc:2,36,(dua),PUNCT,2,tahun,I_PENA
doc:2,37,tahun,NOUN,(dua),“pencurian,E_PENA
doc:2,38,“pencurian,NOUN,tahun,yang,B_CRIA
doc:2,39,yang,PRON,“pencurian,dilakukan,I_CRIA
doc:2,40,dilakukan,VERB,yang,secara,I_CRIA
doc:2,41,secara,ADP,dilakukan,berlanjut”,I_CRIA
doc:2,42,berlanjut”,PUNCT,secara,dewi,I_CRIA
doc:2,43,dewi,NOUN,berlanjut”,ika,B_PROS
doc:2,44,ika,PROPN,dewi,agsutina,I_PROS
doc:2,45,agsutina,PUNCT,ika,s.h,I_PROS
doc:2,46,s.h,PUNCT,agsutina,muhammad,E_REGI
doc:2,47,muhammad,PROPN,s.h,sanusi,B_DEFN
doc:2,48,sanusi,PROPN,muhammad,bin,I_DEFN
doc:2,49,bin,PROPN,sanusi,marju,I_DEFN
doc:2,50,marju,PUNCT,bin,"""pencurian",E_DEFN
doc:3,51,"""pencurian",NOUN,marju,dengan,B_CRIA
doc:3,52,dengan,ADP,"""pencurian",pemberatan”,I_CRIA
doc:3,53,pemberatan”,PUNCT,dengan,sebagaimana,I_CRIA
doc:3,54,sebagaimana,SCONJ,pemberatan”,diatur,I_CRIA
doc:3,55,diatur,VERB,sebagaimana,dan,I_CRIA
doc:3,56,dan,CCONJ,diatur,diancam,I_ARTV
doc:3,57,diancam,VERB,dan,pidana,I_CRIA
doc:3,58,pidana,NOUN,diancam,dalam,I_CRIA
doc:3,59,dalam,ADP,pidana,pasal,I_CRIA
doc:3,60,pasal,NOUN,dalam,363,B_ARTV
doc:3,61,363,NUM,pasal,ayat,I_ARTV
doc:3,62,ayat,NOUN,363,(1),I_ARTV
doc:3,63,(1),PUNCT,ayat,ke-3,I_ARTV
doc:3,64,ke-3,NUM,(1),dan,I_ARTV
doc:3,65,dan,CCONJ,ke-3,ke-4,I_ARTV
doc:3,66,ke-4,NUM,dan,kuhp,I_ARTV
doc:3,67,kuhp,NOUN,ke-4,2,E_ARTV
doc:3,68,2,NUM,kuhp,(dua),B_PENA
doc:3,69,(dua),PUNCT,2,tahun,I_PENA
doc:3,70,tahun,NOUN,(dua),5,I_PENA
doc:3,71,5,NUM,tahun,(lima),I_PENA
doc:3,72,(lima),PUNCT,5,bulan,I_PENA
doc:3,73,bulan,NOUN,(lima),pencurian,E_PENA
doc:3,74,pencurian,NOUN,bulan,dalam,B_CRIA
doc:3,75,dalam,ADP,pencurian,keadaan,I_CRIA
doc:3,76,keadaan,NOUN,dalam,memberatkan,I_PUNI
doc:3,77,memberatkan,VERB,keadaan,anjar,E_PUNI
doc:3,78,anjar,PROPN,memberatkan,purbo,B_PROS
doc:3,79,purbo,PROPN,anjar,sasongko,I_PROS
doc:3,80,sasongko,PROPN,purbo,s.h..,I_PROS
doc:3,81,s.h..,PUNCT,sasongko,m.h.,E_REGI
doc:3,82,m.h.,PUNCT,s.h..,sebagai,I_PROS
doc:3,83,sebagai,ADP,m.h.,ababil,E_PROS
doc:3,84,ababil,PROPN,sebagai,bin,B_DEFN
doc:3,85,bin,PROPN,ababil,mufri,I_DEFN
doc:3,86,mufri,PUNCT,bin,“tanpa,E_DEFN
doc:4,87,“tanpa,ADP,mufri,mendapat,B_CRIA
doc:4,88,mendapat,VERB,“tanpa,izin,I_CRIA
doc:4,89,izin,NOUN,mendapat,dengan,I_CRIA
doc:4,90,dengan,ADP,izin,sengaja,I_CRIA
doc:4,91,sengaja,VERB,dengan,menawarkan,I_CRIA
doc:4,92,menawarkan,VERB,sengaja,atau,I_CRIA
doc:4,93,atau,CCONJ,menawarkan,memberikan,I_CRIA
doc:4,94,memberikan,VERB,atau,kesempatan,I_CRIA
doc:4,95,kesempatan,NOUN,memberikan,untuk,I_CRIA
doc:4,96,untuk,SCONJ,kesempatan,permainan,I_CRIA
doc:4,97,permainan,NOUN,untuk,judi,I_CRIA
doc:4,98,judi,NOUN,permainan,dan,I_CRIA
doc:4,99,dan,CCONJ,judi,menjadikannya,I_CRIA
doc:4,100,menjadikannya,VERB,dan,sebagai,I_CRIA
doc:4,101,sebagai,ADP,menjadikannya,"pencarian,",I_CRIA
doc:4,102,"pencarian,",PUNCT,sebagai,atau,I_CRIA
doc:4,103,atau,CCONJ,"pencarian,",dengan,I_CRIA
doc:4,104,dengan,ADP,atau,sengaja,I_CRIA
doc:4,105,sengaja,VERB,dengan,turut,I_CRIA
doc:4,106,turut,ADV,sengaja,serta,I_CRIA
doc:4,107,serta,CCONJ,turut,dalam,I_CRIA
doc:4,108,dalam,ADP,serta,suatu,I_CRIA
doc:4,109,suatu,DET,dalam,perusahaan,I_CRIA
doc:4,110,perusahaan,NOUN,suatu,untuk,I_CRIA
doc:4,111,untuk,SCONJ,perusahaan,itu”,I_CRIA
doc:4,112,itu”,PUNCT,untuk,1,E_CRIA
doc:4,113,1,NUM,itu”,(satu),B_PENA
doc:4,114,(satu),PUNCT,1,tahun,I_PENA
doc:4,115,tahun,NOUN,(satu),6,I_PENA
doc:4,116,6,NUM,tahun,(enam),I_PENA
doc:4,117,(enam),PUNCT,6,bulan,I_PENA
doc:4,118,bulan,NOUN,(enam),“tanpa,E_PENA
doc:4,119,“tanpa,ADP,bulan,mendapat,B_CRIA
doc:4,120,mendapat,VERB,“tanpa,izin,I_CRIA
doc:4,121,izin,NOUN,mendapat,dengan,I_CRIA
doc:4,122,dengan,ADP,izin,sengaja,I_CRIA
doc:4,123,sengaja,VERB,dengan,memberikan,I_CRIA
doc:4,124,memberikan,VERB,sengaja,kesempatan,I_CRIA
doc:4,125,kesempatan,NOUN,memberikan,untuk,I_CRIA
doc:4,126,untuk,SCONJ,kesempatan,permainan,I_CRIA
doc:4,127,permainan,NOUN,untuk,judi,I_CRIA
doc:4,128,judi,NOUN,permainan,dan,I_CRIA
doc:4,129,dan,CCONJ,judi,menjadikannya,I_CRIA
doc:4,130,menjadikannya,VERB,dan,sebagai,I_CRIA
doc:4,131,sebagai,ADP,menjadikannya,pencaharian”,I_CRIA
doc:4,132,pencaharian”,PUNCT,sebagai,fajrini,E_PUNI
doc:4,133,fajrini,PUNCT,pencaharian”,faisah,B_PROS
doc:4,134,faisah,PUNCT,fajrini,s.h,I_PROS
doc:4,135,s.h,PUNCT,faisah,kafi,E_REGI
doc:4,136,kafi,PROPN,s.h,bin,B_DEFN
doc:4,137,bin,PROPN,kafi,kurdi,I_DEFN
doc:4,138,kurdi,PROPN,bin,“perbarengan,E_DEFN
doc:5,139,“perbarengan,NOUN,kurdi,pencurian,B_CRIA
doc:5,140,pencurian,NOUN,“perbarengan,dalam,I_CRIA
doc:5,141,dalam,ADP,pencurian,keadaan,I_CRIA
doc:5,142,keadaan,NOUN,dalam,yang,I_CRIA
doc:5,143,yang,PRON,keadaan,memberatkan”,I_CRIA
doc:5,144,memberatkan”,PUNCT,yang,sebagaimana,I_CRIA
doc:5,145,sebagaimana,SCONJ,memberatkan”,diatur,I_CRIA
doc:5,146,diatur,VERB,sebagaimana,dan,I_CRIA
doc:5,147,dan,CCONJ,diatur,diancam,I_CRIA
doc:5,148,diancam,VERB,dan,pidana,I_CRIA
doc:5,149,pidana,NOUN,diancam,dalam,I_CRIA
doc:5,150,dalam,ADP,pidana,pasal,I_CRIA
doc:5,151,pasal,NOUN,dalam,363,B_ARTV
doc:5,152,363,NUM,pasal,ayat,I_ARTV
doc:5,153,ayat,NOUN,363,(1),I_ARTV
doc:5,154,(1),PUNCT,ayat,ke-4,I_ARTV
doc:5,155,ke-4,NUM,(1),kuhpidana,I_ARTV
doc:5,156,kuhpidana,PUNCT,ke-4,1,E_CRIA
doc:5,157,1,NUM,kuhpidana,(satu),B_PENA
doc:5,158,(satu),PUNCT,1,tahun,I_PENA
doc:5,159,tahun,NOUN,(satu),dan,I_PENA
doc:5,160,dan,CCONJ,tahun,2,I_CRIA
doc:5,161,2,NUM,dan,(dua),I_PENA
doc:5,162,(dua),PUNCT,2,bulan,I_PENA
doc:5,163,bulan,NOUN,(dua),pencurian,E_PENA
doc:5,164,pencurian,NOUN,bulan,dalam,I_CRIA
doc:5,165,dalam,ADP,pencurian,keadaan,I_CRIA
doc:5,166,keadaan,NOUN,dalam,memberatkan,I_CRIA
doc:5,167,memberatkan,VERB,keadaan,dian,E_PUNI
doc:5,168,dian,NOUN,memberatkan,musliyana,B_PROS
doc:5,169,musliyana,PUNCT,dian,sari,I_PROS
doc:5,170,sari,NOUN,musliyana,s.h.,I_PROS
doc:5,171,s.h.,PUNCT,sari,sebagai,E_REGI
doc:5,172,sebagai,ADP,s.h.,samsul,E_PROS
doc:5,173,samsul,PROPN,sebagai,arifin,B_DEFN
doc:5,174,arifin,PROPN,samsul,bin,I_DEFN
doc:5,175,bin,PROPN,arifin,jahuri,I_DEFN
doc:5,176,jahuri,PUNCT,bin,“mencoba,E_DEFN
doc:6,177,“mencoba,VERB,jahuri,melakukan,B_CRIA
doc:6,178,melakukan,VERB,“mencoba,kejahatan,I_CRIA
doc:6,179,kejahatan,NOUN,melakukan,mengambil,I_CRIA
doc:6,180,mengambil,VERB,kejahatan,barang,I_CRIA
doc:6,181,barang,NOUN,mengambil,sesuatu,I_CRIA
doc:6,182,sesuatu,PRON,barang,yang,I_CRIA
doc:6,183,yang,PRON,sesuatu,seluruhnya,I_CRIA
doc:6,184,seluruhnya,DET,yang,atau,I_CRIA
doc:6,185,atau,CCONJ,seluruhnya,sebagian,I_CRIA
doc:6,186,sebagian,DET,atau,kepunyaan,I_CRIA
doc:6,187,kepunyaan,NOUN,sebagian,orang,I_CRIA
doc:6,188,orang,NOUN,kepunyaan,"lain,",I_CRIA
doc:6,189,"lain,",PUNCT,orang,dengan,I_CRIA
doc:6,190,dengan,ADP,"lain,",maksud,I_CRIA
doc:6,191,maksud,NOUN,dengan,untuk,I_CRIA
doc:6,192,untuk,SCONJ,maksud,dimiliki,I_CRIA
doc:6,193,dimiliki,VERB,untuk,secara,I_CRIA
doc:6,194,secara,ADP,dimiliki,melawan,I_CRIA
doc:6,195,melawan,VERB,secara,"hukum,",I_CRIA
doc:6,196,"hukum,",PUNCT,melawan,yang,I_CRIA
doc:6,197,yang,PRON,"hukum,",untuk,I_CRIA
doc:6,198,untuk,SCONJ,yang,masuk,I_CRIA
doc:6,199,masuk,VERB,untuk,ke,I_CRIA
doc:6,200,ke,ADP,masuk,tempat,I_CRIA
doc:6,201,tempat,NOUN,ke,melakukan,I_CRIA
doc:6,202,melakukan,VERB,tempat,"kejahatan,",I_CRIA
doc:6,203,"kejahatan,",PUNCT,melakukan,atau,I_CRIA
doc:6,204,atau,CCONJ,"kejahatan,",untuk,I_CRIA
doc:6,205,untuk,SCONJ,atau,sampai,I_CRIA
doc:6,206,sampai,ADP,untuk,pada,I_CRIA
doc:6,207,pada,ADP,sampai,barang,I_CRIA
doc:6,208,barang,NOUN,pada,yang,I_CRIA
doc:6,209,yang,PRON,barang,"diambilnya,",I_CRIA
doc:6,210,"diambilnya,",PUNCT,yang,dilakukan,I_CRIA
doc:6,211,dilakukan,VERB,"diambilnya,",dengan,I_CRIA
doc:6,212,dengan,ADP,dilakukan,"merusak,",I_CRIA
doc:6,213,"merusak,",PUNCT,dengan,memotong,I_CRIA
doc:6,214,memotong,VERB,"merusak,",atau,I_CRIA
doc:6,215,atau,CCONJ,memotong,memanjat,I_CRIA
doc:6,216,memanjat,VERB,atau,atau,I_CRIA
doc:6,217,atau,CCONJ,memanjat,dengan,I_CRIA
doc:6,218,dengan,ADP,atau,memakai,I_CRIA
doc:6,219,memakai,VERB,dengan,anak,I_CRIA
doc:6,220,anak,NOUN,memakai,kunci,I_CRIA
doc:6,221,kunci,NOUN,anak,"palsu,",I_CRIA
doc:6,222,"palsu,",PUNCT,kunci,perintah,I_CRIA
doc:6,223,perintah,NOUN,"palsu,",palsu,I_CRIA
doc:6,224,palsu,NOUN,perintah,atau,I_CRIA
doc:6,225,atau,CCONJ,palsu,pakaian,I_CRIA
doc:6,226,pakaian,NOUN,atau,jabatan,I_CRIA
doc:6,227,jabatan,NOUN,pakaian,"palsu,",I_CRIA
doc:6,228,"palsu,",PUNCT,jabatan,jika,I_CRIA
doc:6,229,jika,SCONJ,"palsu,",niat,I_CRIA
doc:6,230,niat,NOUN,jika,untuk,I_CRIA
doc:6,231,untuk,SCONJ,niat,itu,I_CRIA
doc:6,232,itu,DET,untuk,telah,I_CRIA
doc:6,233,telah,AUX,itu,ternyata,I_CRIA
doc:6,234,ternyata,ADV,telah,dari,I_CRIA
doc:6,235,dari,ADP,ternyata,adanya,I_CRIA
doc:6,236,adanya,VERB,dari,permulaan,I_CRIA
doc:6,237,permulaan,NOUN,adanya,"pelaksanaan,",I_CRIA
doc:6,238,"pelaksanaan,",PUNCT,permulaan,dan,I_CRIA
doc:6,239,dan,CCONJ,"pelaksanaan,",tidak,I_CRIA
doc:6,240,tidak,PART,dan,selesainya,I_CRIA
doc:6,241,selesainya,VERB,tidak,pelaksanaan,I_CRIA
doc:6,242,pelaksanaan,NOUN,selesainya,"itu,",I_CRIA
doc:6,243,"itu,",PUNCT,pelaksanaan,bukan,I_CRIA
doc:6,244,bukan,PART,"itu,",semata-mata,I_CRIA
doc:6,245,semata-mata,PUNCT,bukan,disebabkan,I_CRIA
doc:6,246,disebabkan,VERB,semata-mata,karena,I_CRIA
doc:6,247,karena,SCONJ,disebabkan,kehendaknya,I_CRIA
doc:6,248,kehendaknya,NOUN,karena,sendiri”,I_CRIA
doc:6,249,sendiri”,PUNCT,kehendaknya,6,E_CRIA
doc:6,250,6,NUM,sendiri”,(enam),B_PENA
doc:6,251,(enam),PUNCT,6,bulan,I_PENA
doc:6,252,bulan,NOUN,(enam),percobaan,E_PENA
doc:6,253,percobaan,NOUN,bulan,pencurian,B_PUNI
doc:6,254,pencurian,NOUN,percobaan,dalam,I_PUNI
doc:6,255,dalam,ADP,pencurian,keadaan,I_PUNI
doc:6,256,keadaan,NOUN,dalam,memberatkan,I_PUNI
doc:6,257,memberatkan,VERB,keadaan,fajrini,E_PUNI
doc:6,258,fajrini,PUNCT,memberatkan,faisah,B_PROS
doc:6,259,faisah,PUNCT,fajrini,s.h.,I_PROS
doc:6,260,s.h.,PUNCT,faisah,sebagai,E_REGI
doc:6,261,sebagai,ADP,s.h.,mohammad,E_PROS
doc:6,262,mohammad,PROPN,sebagai,zainullah,B_DEFN
doc:6,263,zainullah,PUNCT,mohammad,bin,I_DEFN
doc:6,264,bin,PROPN,zainullah,rahbini,I_DEFN
doc:6,265,rahbini,PUNCT,bin,"“membeli,",E_DEFN
doc:7,266,"“membeli,",PUNCT,rahbini,"menyewa,",B_CRIA
doc:7,267,"menyewa,",PUNCT,"“membeli,","menukar,",I_CRIA
doc:7,268,"menukar,",PUNCT,"menyewa,",menerima,I_CRIA
doc:7,269,menerima,VERB,"menukar,","gadai,",I_CRIA
doc:7,270,"gadai,",PUNCT,menerima,menerima,I_CRIA
doc:7,271,menerima,VERB,"gadai,","hadiah,",I_CRIA
doc:7,272,"hadiah,",PUNCT,menerima,atau,I_CRIA
doc:7,273,atau,CCONJ,"hadiah,",untuk,I_CRIA
doc:7,274,untuk,SCONJ,atau,menarik,I_CRIA
doc:7,275,menarik,VERB,untuk,"keuntungan,",I_CRIA
doc:7,276,"keuntungan,",PUNCT,menarik,"menjual,",I_CRIA
doc:7,277,"menjual,",PUNCT,"keuntungan,","menyewakan,",I_CRIA
doc:7,278,"menyewakan,",PUNCT,"menjual,","menukarkan,",I_CRIA
